contract,mean,std,median,min,max,pProf
SPY210611C00436000,0.5054427328963602,1.9196408170613097,-0.21293903722844293,-0.21293903722844293,24.504272615929782,0.23511862480465975
SPY210611C00437000,0.4784573392109291,1.8534973629729132,-0.18183558235237823,-0.18183558235237823,24.29611872560535,0.21721835487995453
SPY210611C00437500,0.4654794009143033,1.8210201582182737,-0.16748014164034836,-0.16748014164034836,24.19084549371713,0.21054127006677084
SPY210611C00438000,0.45136211519153224,1.7888983242587977,-0.15551727438032348,-0.15551727438032348,24.083179688376905,0.20230146327603352
SPY210611C00439000,0.42385113100271776,1.7259113309837715,-0.13398411331227872,-0.13398411331227872,23.86545550424445,0.18965762182128143
SPY210611C00440000,0.39753547056176797,1.664781197961885,-0.11484352569623887,-0.11484352569623887,23.645338746659995,0.17303594260548374
SPY210611C00441000,0.3703377635970096,1.6053838338911957,-0.10048808498420903,-0.10048808498420903,23.420436842171526,0.16238102003125443
SPY210611C00442000,0.34609157111725203,1.5479550070316423,-0.08613264427217916,-0.08613264427217916,23.195534937683064,0.1508737036510868
SPY210611C00442500,0.3350980360378526,1.5199728358574551,-0.07895492391616422,-0.07895492391616422,23.08308398543883,0.14476488137519533
SPY210611C00443000,0.32245292831285255,1.4924752956424316,-0.07416977701215427,-0.07416977701215427,22.968240459742585,0.13794573092768858
SPY210611C00444000,0.2995236305563517,1.4388593056681527,-0.06459948320413438,-0.06459948320413438,22.738553408350114,0.1262963489131979
SPY210611C00445000,0.2769961850789378,1.3870925571475925,-0.05742176284811944,-0.05742176284811944,22.50647378350563,0.11706208268219917
SPY210611C00446000,0.2568319484045626,1.3372288833187649,-0.05024404249210451,-0.05024404249210451,22.27439415866115,0.10697542264526211
SPY210611C00447000,0.2390173376493838,1.2891929258832715,-0.04306632213608958,-0.04306632213608958,22.04231453381666,0.09944594402614007
SPY210611C00448000,0.22083238921394,1.2430081095845509,-0.03828117523207963,-0.03828117523207963,21.807842335520178,0.0890751527205569
SPY210611C00449000,0.2047630735317852,1.1985410643660932,-0.03349602832806968,-0.03349602832806968,21.573370137223684,0.08325046171331155
SPY210611C00450000,0.1878975856585094,1.1558444811903215,-0.031103454876064696,-0.031103454876064696,21.336505365475197,0.07628924563148175
SPY210611C00451000,0.17505800885343098,1.1148418403142426,-0.026318307972054745,-0.026318307972054745,21.10203316717871,0.07003835772126722
SPY210611C00452000,0.16118474321808277,1.075518404839396,-0.023925734520049768,-0.023925734520049768,20.865168395430217,0.064497797982668
SPY210611C00453000,0.14871641809030625,1.0378119119851095,-0.02153316106804479,-0.02153316106804479,20.62830362368172,0.058815172609745704
SPY210611C00454000,0.1375017247944725,1.001665275568175,-0.019140587616039813,-0.019140587616039813,20.39143885193323,0.05426907231140787
SPY210611C00455000,0.12495491080228129,0.9670532573591097,-0.019140587616039813,-0.019140587616039813,20.152181506732735,0.04958090637874698
SPY210611C00456000,0.11600932645960706,0.933883314735555,-0.01674801416403484,-0.01674801416403484,19.91531673498424,0.04489274044608609
SPY210611C00460000,0.08466626755489683,0.8141250289373425,-0.011962867260024884,-0.011962867260024884,18.96307250108626,0.03153857081971871
SPY210611C00465000,0.056480510141092996,0.6900802100549912,-0.009570293808019907,-0.009570293808019907,17.76917834853577,0.019320926267935787
SPY210611C00470000,0.04075919496666737,0.5861095391650005,-0.00717772035601493,-0.00717772035601493,16.57528419598529,0.012075578917459867
SPY210611C00475000,0.03109764187183983,0.4949990012323909,-0.004785146904009953,-0.004785146904009953,15.381390043434807,0.008666003693706492
SPY210611C00480000,0.021791660472894363,0.4138383324997411,-0.004785146904009953,-0.004785146904009953,14.185103317432318,0.007103281716152862
SPY210611C00485000,0.014572964831936142,0.34227520443006404,-0.004785146904009953,-0.004785146904009953,12.988816591429831,0.004972297201307004
SPY210611C00490000,0.011517231809062186,0.27891358470203753,-0.0023925734520049767,-0.0023925734520049767,11.794922438879347,0.003977837761045603
SPY210611C00495000,0.007273677764411518,0.22322419993744977,-0.0023925734520049767,-0.0023925734520049767,10.59863571287686,0.0032675095894303167
